"uid","platform"
"99000115368438","android"
"99000115339068","android"
"99000115210472","android"
"1371436838","site"
"354895050787816","android"
"355666055737588","android"
"99000114915996","android"
"99000113544989","android"
"ed78f3f3187b0bff","android"
"99000074142285","android"
"1379323409","site"
"138312141011106","android"
"355886052905810","android"
"1383560892","site"
"138508992","site"
"99000066599327","android"
"99000066163224","android"
"99000033540035","android"
"99000023937077","android"
"98dc09c9079b2611","android"
"1390555957","site"
"1391580547","site"
"986597614","site"
"355300050222723","android"
"354895050811244","android"
"1395512719","site"
"1397302983","site"
"9843e1fc405518f4","android"
"139aa88f3f0c9d0f","android"
"97c0e73f9176df49","android"
"355300050176333","android"
"97bbfb3308ddf8f3","android"
"1401673296","site"
"977817253","site"
"1403160663","site"
"354439053173615","android"
"089c870e","android"
"976028225","site"
"975455985","site"
"1404065499","site"
"1404644203","site"
"355886053003854","android"
"355886053077247","android"
"1408473481","site"
"355300050163315","android"
"972121154","site"
"971754560","site"
"1409734827","site"
"354895050819072","android"
"963343142","site"
"963268117","site"
"963268117","widget"
"95c566a771d6e9a4","android"
"355300050149702","android"
"95bbcc29f5b6b61","android"
"95b38e1d16cb3bb2","android"
"95FUMZBIP7UCNFBI","android"
"958604825","site"
"355886053168236","android"
"958213586","site"
"354666052128170","android"
"9578555a4a325589","android"
"957317163","site"
"956718951","site"
"955330153","site"
"1430401872","site"
"354439052884006","android"
"94b6d75bd5756d58","android"
"9498774","site"
"949532198","site"
"1432046101","site"
"355300050146971","android"
"94932a6f41032d5","android"
"1433773407","site"
"948291205","site"
"947268083","site"
"354666057429201","android"
"1438429558","site"
"ed09669962543d72","android"
"1438556801","site"
"1439503634","site"
"93b92a944e99481f","android"
"937892332","site"
"9369da3116949c6b","android"
"1441762085","site"
"355886053450923","android"
"354666057436800","android"
"933588735","site"
"144481830","site"
"93192855","chrome"
"93105eda65b88817","android"
"92c4cf6dbab83faa","android"
"144819027","site"
"928916326","site"
"928131314","site"
"144df0d2213322d1","android"
"927501771","site"
"924725447","site"
"0x3b36e0d3bd118418","wap"
"924128221","chrome"
"355886053509835","android"
"1455438735","site"
"92149d151f9836f0","android"
"094c593b","android"
"92082510","site"
"1457865949","site"
"919bc1da9c709e9c","android"
"354895050950216","android"
"146156191","site"
"916b4cd49493b26a","android"
"1462911687","site"
"9144c1f52cc0773f","android"
"354439052339761","android"
"094e3eca","android"
"354895050994933","android"
"1463716678","site"
"913129230261107","android"
"355300050050413","android"
"912977373","site"
"eca94521f479e88","android"
"146720291","site"
"354895051097785","android"
"911345300202428","android"
"ec99ae70c55f4a51","android"
"911342700871449","android"
"354439051651166","android"
"911342600672822","android"
"911338550113460","android"
"911337300022385","android"
"1473531419","site"
"911336550026013","android"
"911334851135971","android"
"1475122572","site"
"1475910544","site"
"355794052434510","android"
"911332750033495","android"
"1477956735","site"
"354895051276876","android"
"911331651164946","android"
"355299053413877","android"
"355886055023272","android"
"911331650914895","android"
"911331600461021","android"
"911329300276483","android"
"1483051681","site"
"1483373944","site"
"355266040051342","android"
"911328852538829","android"
"911328852311920","android"
"1484940326","site"
"354895055215839","android"
"1485967760","site"
"911328850224851","android"
"911328850114128","android"
"1487592903","site"
"355886055767159","android"
"355251057858599","android"
"148855427","site"
"148953111314110","android"
"911321900044403","android"
"911321900032523","android"
"355251057549339","android"
"148acf9190b2c093","android"
"911321250249446","android"
"355251054135801","android"
"1490915199","site"
"911319650213855","android"
"ec798e32fa5ebcf9","android"
"911317550029959","android"
